Control,Score,Bonus,Description/Question,Answer
1,10,2X,Tip Shop! No found item. Secret santa bonus: x2 TOTAL point multiplier if you buy a secret santa gift for your person. This means you double your entire score,
2,20,750,"Platypus observation spot. On the the white “slow” sign, what are the people holding in their hands? Bonus points: +750 points if you see the (alive and real) platypus (anywhere in Hobart) and take a photo.",
3,20,NA,Just up from the track junction along Rivulet Track. Who has signed off on the sign at the bottom right?,
4,30,75,"Free library. Found item: according to the slogan, what do libraries always remind you that there are? Santa hat is in here. it is a roaming control. IF you find someone with the Santa Hat you get to take it off them but you must ask nicely. 75 points.",
5,20,40,Bear With Me. Name the tart they sell in the cabinet window. Bonus 40 pts: Enjoy a coffee/something here,
6,20,40,Salamanca Fresh SoHo: No found item. See stone stoup bonus. Stone soup bonus: Bring the smallest root vegetable to Preachers from here. Must carry the whole SoHo200,
7,50,50,"Under the Pagola in the Fitzroy Gardens. Found item: how many white rose bushes are there? Bonus 50 points: It’s quite a nice space. Take a moment to take it in, and then enjoy a partner dance with your team member.",
8,40,40,Banjo's Sandy Bay: Found item: How much do you save if you bring your own keep cup here? Bonus 40 points for eating a fruit mince pie here.,
9,50,60,Park opposite UTAS rugby ground. Monument to who (which country) was exiled here? In what year were they Incarcerated? Bonus 60 points: Hand shake or hi five of someone from this country.,
10,40,40,Playground opposite Marsden Street on Marleville Esplanade - how many swings on the arch shape? Bonus 40 points for swinging on the swings without getting a push.,
11,40,30,Bridge near Short Beach / Erroll Flynn reserve and the huge hill - seat is dedicated to who? This is a special spot. Enjoy a little sit down and watch the dogs play. Bonus 30 points: Pat a dog here,
12,50,50,"Napolean street playground, Sandy. Follow orange sign on telephone pole to sculpture 24. What does 24 represent, which people are responsible for keeping them? Bonus 50 pts: Take 3 deep breaths at the benches. Isn’t Hobart great?",
13,40,30,"Princes Park, Salamanca. What was the white station at Princes Park used for? Bonus 50 points: Learn the Semaphorefore alphabet for the letters S-O-H-O",
40,40,100,"Old Red Post box, Salamanca You can send mail here! What time does mail get picked up? Bonus 100 points: Mail a (valid) christmas letter.",
14,30,30,"Salamanca Fresh, Salamanca. Number of bike parking racks out the front? Stone soup bonus 30 points: Bring the smallest root vegetable to Preachers from here. Must carry the whole SoHo200",
15,100,NA,Poem Near Gardens on footpath. What is this artwork called and who is the artist?,
17,30,60,Cannon on RHS of Anglesea barracks on Davey Street. Which country did the canon originally belong to? Bonus 60 point if you can tell me what is written on the sides of the canon,
18,30,NA,"Korean Grove plaque, Rivulet Track. What is the date and significance at the bottom of the plaque entitled: “Korean Grove”",
19,20,25,Hamlet Café. Found item: What is the slogan with the pot plant on the wall at the cafe? Bonus 25 points: What is a hamlet? A Small town or village,
20,50,50,West Hobart Express Mailboxes on 12 Hill street. There’s a sign for a market - what was the market and when was it? Bonus 50 points: Draw on the map what you think is the geographic centre of the map? Corner of Cavelle + Melville Street,
21,50,25,International wall of friendship. What is significant about the plaque from the netherlands? Bonus 25 points: Hi five or shake hands with a dutch person,
23,20,NA,"Sculptures at Franklin Square in yellow boxes. The art by Alicia King, Phenomenal Bodies, were largely created where?",
24,30,50,"Cat and Fiddle Arcade: in the food court cat and fiddle, How many whiskers does the cat have? 50 Bonus points: See the clock change and the dance happen.",
25,50,100+,State library of Tasmania. Near returns chute. What year was photograph of Denis Murray taken? 100 bonus points if you sign up for a library card if you don’t already have one. 30 bonus points for each book you rent from the library and bring to Preachers,
27,20,40,Van Dieman's Land creamery. How many flavours do they have? Bonus 40 points: Enjoy come ice cream here.,
28,40,30,"Outside UTAS centre for the arts, there’s a sculpture outside car park 2927, what is the name of that sculpture? Bonus 30 points, have a browse through the window of the nice art here at the two stores",
29,50,60,"Railway Roundabout. According to the plaque, who erected this tribute, and who is it for? Bonus 60 points. In what years did trams operate in Hobart?",
30,50,NA,"The Cenotaph. Each side of the cenotaph has metal flower seals - how many total? Take a moment to enjoy the views of the city, ocean, and look back over the walking bridge. It’s a special spot. Bonus 100 points if someone from the Nuyina waves at you.",
31,40,NA,Little Missy Patisserie. On RHS there is a car park with graffiti. What does the big blue letter graffiti spell? Bonus 50 points for eating a fruit mince pie here. Bonus 100 points if you bring a fruit mince pie to Nick at Preachers.,
32,60,NA,"Tony Haigh Walk. What does the red post box art say about where mail will be delivered? Bonus 60 points, how many dogs are painted on the street art here?",
33,50,NA,Bottom of Leonard Wall steps Bonus 200 points. How many steps are there between the top and bottom of the steps at control 34?,
34,50,NA,Top of Leonard Wall steps what crescent name is at the top of the stairs? Bonus 100 points: How may Sheep (?) are at the house halfway along down the hill?,
35,30,NA,"Mount Stuart Park Playground. Found item: how many blue butterflies are there painted on the yellow wall in the undercover area? Bonus 75 points, ride the slide down!",
36,50,NA,Mount Stuart lookout. What does the black sticker with “southwall” on it say? Wordle bonus. 1 = 100 points. 2 = 40 points. 3 = 25 points. 4 = 15 points. 5 = 10 points. 6 = 5 points. Fail = negative 10 points + Forfeit points from the lookout.,
37,50,NA,"Knocklofty summit! According to the sign, how high is this above sea level? And how far is Mount Stuart Lookout from here? Birdwatching bonus: 5 points per species of bird spotted from up here. Bonus 10 points for every (unique) bird photo you capture.",
38,50,NA,Knocklofty lookout. What is the title of the QR code here?,
39,50,NA,Knocklofty bunker. There's a pipe here. What year is printed on it?,
41,,NA,New Sydney hotel. A mural in the smoking area - what did brave young Alec Campbell wish he was? 100 bonus pts if you enjoy a beer here. Hide + Seek: Lose 200 pts if another SoHo-er photographs you here. Gain 200 pts if you photograph another SoHo-er here.,
